#رقم,مشكول,صنف,أصل,جنس,عدد
5270,مُتَّخِذٌ,فاعل,اِتَّخَذَ,مذكر,مفرد
906,مُتَأَبِّطٌ,فاعل,تَأَبَّطَ,مذكر,مفرد
224,آتِي,فاعل,أَتَى,مذكر,مفرد
225,أَوَاتِي,فاعل,أَتَى,,جمع
227,مُؤَثِّرٌ,فاعل,أَثَّرَ,مذكر,مفرد
349,مُسْتَأْثِرٌ,فاعل,اِسْتَأْثَرَ,مذكر,مفرد
908,مُتَأَثِّرٌ,فاعل,تَأَثَّرَ,مذكر,مفرد
230,آثِمٌ,فاعل,أَثِمَ,مذكر,مفرد
909,مُتَأَجِّجٌ,فاعل,تَأَجَّجَ,مذكر,مفرد
242,مُؤَجِّرٌ,فاعل,أَجَّرَ,مذكر,مفرد
350,مُسْتَأْجِرٌ,فاعل,اِسْتَأْجَرَ,مذكر,مفرد
245,مُؤَجِّلٌ,فاعل,أَجَّلَ,مذكر,مفرد
285,مُؤَخِّرٌ,فاعل,أَخَّرَ,مذكر,مفرد
912,مُتَأَخِّرٌ,فاعل,تَأَخَّرَ,مذكر,مفرد
291,مُؤَدِّبٌ,فاعل,أَدَّبَ,مذكر,مفرد
914,مُتَأَدِّبٌ,فاعل,تَأَدَّبَ,مذكر,مفرد
299,مُؤَدِّي,فاعل,أَدَّى,مذكر,مفرد
303,مُؤَذِّنٌ,فاعل,أَذَّنَ,مذكر,مفرد
306,مُؤْذِي,فاعل,آذَى,مذكر,مفرد
307,مُؤََارِبٌ,فاعل,آرَبَ,مذكر,مفرد
327,مُؤَرِّخٌ,فاعل,أرَّخَ,مذكر,مفرد
745,مُؤْتَزِرٌ,فاعل,اِئْتَزَرَ,مذكر,مفرد
433,مُؤَسِّسٌ,فاعل,أَسَّسَ,مذكر,مفرد
435,مُؤْسِفٌ,فاعل,آسَفَ,مذكر,مفرد
436,آسِفٌ,فاعل,أسِفَ,مذكر,مفرد
437,أَوَاسِفٌ,فاعل,أسِفَ,,جمع
916,مُتَأَسِّفٌ,فاعل,تَأَسَّفَ,مذكر,مفرد
431,آسِنٌ,فاعل,أسَنَ,مذكر,مفرد
458,مُؤَشِّرٌ,فاعل,أَشَّرَ,مذكر,مفرد
917,مُتَأَصِّلٌ,فاعل,تَأَصَّلَ,مذكر,مفرد
558,آفِلٌ,فاعل,أَفَلَ,مذكر,مفرد
559,أُفَّلٌ,فاعل,أَفَلَ,,جمع
560,أُفُولٌ,فاعل,أَفَلَ,,جمع
5149,مُتَأَقْلِمٌ,فاعل,تَأَقْلَمَ,مذكر,مفرد
595,مُؤَكِّدٌ,فاعل,أَكَّدَ,مذكر,مفرد
918,مُتَأَكِّدٌ,فاعل,تَأَكَّدَ,مذكر,مفرد
5085,مُؤِكْسِدٌ,فاعل,أَكْسَدَ,مذكر,مفرد
5150,مُتَأَكْسِدٌ,فاعل,تَأَكْسَدَ,مذكر,مفرد
190,مُتَآلِفٌ,فاعل,تآلَفَ,مذكر,مفرد
612,مُؤَلِّفٌ,فاعل,أَلَّفَ,مذكر,مفرد
746,مُؤْتَلِفٌ,فاعل,اِئْتَلَفَ,مذكر,مفرد
919,مُتَأَلِّقٌ,فاعل,تَأَلَّقَ,مذكر,مفرد
614,مُؤْلِمٌ,فاعل,آلَمَ,مذكر,مفرد
624,آمِرٌ,فاعل,أمر,مذكر,مفرد
625,أَوَامِرٌ,فاعل,أمر,,جمع
632,آمِنٌ,فاعل,أمِنَ,مذكر,مفرد
633,أَوَامِنٌ,فاعل,أمِنَ,,جمع
747,مُؤْتَمِرٌ,فاعل,اِئْتَمَرَ,مذكر,مفرد
920,مُتَآمِرٌ,فاعل,تَآمَرَ,مذكر,مفرد
5151,مُتَأَمْرِكٌ,فاعل,تَأَمْرَكَ,مذكر,مفرد
911,مُتَأَمِّلٌ,فاعل,تَأَمَّلَ,مذكر,مفرد
4469,مُؤَمِّلٌ,فاعل,أَمَّلَ,مذكر,مفرد
621,مُؤْمِنٌ,فاعل,آمَنَ,مذكر,مفرد
671,مُؤْنِسٌ,فاعل,آنَسَ,مذكر,مفرد
341,مُسْتَأْنِفٌ,فاعل,اِسْتَأْنَفَ,مذكر,مفرد
922,مُتَأَنِّقٌ,فاعل,تَأَنَّقَ,مذكر,مفرد
923,مُتَأَنِّي,فاعل,تَأَنَّى,مذكر,مفرد
927,مُتَأَهِّبٌ,فاعل,تَأَهَّبَ,مذكر,مفرد
352,مُسْتَأْهِلٌ,فاعل,اِسْتَأْهَلَ,مذكر,مفرد
732,آهِلٌ,فاعل,أهَل,مذكر,مفرد
733,أَوَاهِلٌ,فاعل,أهَل,,جمع
928,مُتَأَهِّلٌ,فاعل,تَأَهَّلَ,مذكر,مفرد
929,مُتَأَوِّهٌ,فاعل,تَأَوَّهَ,مذكر,مفرد
748,مُؤَيِّدٌ,فاعل,أَيَّدَ,مذكر,مفرد
898,بَائِسٌ,فاعل,بَئِسَ,مذكر,مفرد
899,بُؤْسٌ,فاعل,بَئِسَ,,جمع
900,بُؤسَاءُ,فاعل,بَئِسَ,,جمع
901,بَوَائِسٌ,فاعل,بَئِسَ,,جمع
637,مُنْبَتٌّ,فاعل,اِنْبَتَّ,مذكر,مفرد
761,بَاتٌّ,فاعل,بَتَّ,مذكر,مفرد
762,بَوَائِرٌ,فاعل,بَأَرَ,,جمع
775,بَاتِرٌ,فاعل,بَتَرَ,مذكر,مفرد
776,بَوَاتِرُ,فاعل,بَتَرَ,,جمع
777,بُتََّارٌ,فاعل,بَتَرَ,,جمع
778,بَتَرَةٌ,فاعل,بَتَرَ,,جمع
779,بَاثٌّ,فاعل,بثّ,مذكر,مفرد
780,بُوََّاثٌ,فاعل,بثّ,,جمع
781,مُبَخِّرٌ,فاعل,بَخَّر,مذكر,مفرد
782,بَثَثَةٌ,فاعل,بثّ,,جمع
783,بَاجِحٌ,فاعل,بَجَحَ,مذكر,مفرد
784,بَوَاجِحُ,فاعل,بَجَحَ,,جمع
785,بَجَحَةٌ,فاعل,بَجَحَ,,جمع
786,بُجََّاحٌ,فاعل,بَجَحَ,,جمع
787,بَاحِثٌ,فاعل,بَحَثَ,مذكر,مفرد
788,بُحََّاثٌ,فاعل,بَحَثَ,,جمع
789,بَوَاحِثُ,فاعل,بَحَثَ,,جمع
790,بَحَثَةٌ,فاعل,بَحَثَ,,جمع
936,مُتَبَتِّلٌ,فاعل,تَبَتَّلَ,مذكر,مفرد
638,مُنْبَثٌّ,فاعل,اِنْبَثَّ,مذكر,مفرد
639,مُنْبَثِقٌ,فاعل,انبثق,مذكر,مفرد
937,مُتَبَجِّحٌ,فاعل,تَبَجَّحَ,مذكر,مفرد
5152,مُتَبَاجِحٌ,فاعل,تَبَاجَحَ,مذكر,مفرد
5153,مُتَبَاحِثٌ,فاعل,تَبَاحَثَ,مذكر,مفرد
938,مُتَبَحِّرٌ,فاعل,تَبَحَّرَ,مذكر,مفرد
939,مُتَبَخْتِرٌ,فاعل,تبختر,مذكر,مفرد
940,مُتَبَدِّلٌ,فاعل,تبدّلَ,مذكر,مفرد
5129,مُبْحِرٌ,فاعل,أَبْحَرَ,مذكر,مفرد
4533,بَاخِرٌ,فاعل,بَخَرَ,مذكر,مفرد
5160,مُتَبَخِّرٌ,فاعل,تَبَخَّرَ,مذكر,مفرد
4535,بَاخِسٌ,فاعل,بَخَسَ,مذكر,مفرد
194,مُبْتَدِئٌ,فاعل,اِبْتَدَأَ,مذكر,مفرد
791,مُبْدِئٌ,فاعل,أَبْدَأَ,مذكر,مفرد
792,بَادِئٌ,فاعل,بَدَأَ,مذكر,مفرد
793,بَوَادِئٌ,فاعل,بَدَأَ,,جمع
353,مُسْتَبِدٌّ,فاعل,اِسْتَبَدَّ,مذكر,مفرد
5161,مُتَبَدِّدٌ,فاعل,تَبَدَّدَ,مذكر,مفرد
4537,بَادِرٌ,فاعل,بَدَرَ,مذكر,مفرد
5154,مُتَبَادِرٌ,فاعل,تَبَادَرَ,مذكر,مفرد
189,مُبْدِعٌ,فاعل,أَبْدعَ,مذكر,مفرد
195,مُبْتَدِعٌ,فاعل,اِبْتَدَعَ,مذكر,مفرد
4539,بَادِعٌ,فاعل,بَدَعَ,مذكر,مفرد
930,مُتَبَادِلٌ,فاعل,تَبَادَلَ,مذكر,مفرد
4453,مُسْتَبْدِلٌ,فاعل,اِسْتَبْدَلَ,مذكر,مفرد
799,بَادِنٌ,فاعل,بَدَنَ,مذكر,مفرد
800,بُدْنٌ,فاعل,بَدَنَ,,جمع
801,بَوَادِنٌ,فاعل,بَدَنَ,,جمع
802,بَدَنَةٌ,فاعل,بَدَنَ,,جمع
803,بُدََّانٌ,فاعل,بَدَنَ,,جمع
794,بَادِي,فاعل,بَدا,مذكر,مفرد
795,بُدَاةٌ,فاعل,بَدا,,جمع
796,بَوَادِي,فاعل,بَدا,,جمع
797,مُبَدِّدٌ,فاعل,بدّدَ,مذكر,مفرد
798,مُبَدِّلٌ,فاعل,بدّل,مذكر,مفرد
4526,مُبْدِي,فاعل,أَبْدَى,مذكر,مفرد
804,بَاذِخٌ,فاعل,بَذَخَ,مذكر,مفرد
805,بُذَّخٌ,فاعل,بَذَخَ,,جمع
806,بَوَاذِخُ,فاعل,بَذَخَ,,جمع
807,بَذَخَةٌ,فاعل,بَذَخَ,,جمع
808,بُذََّاخٌ,فاعل,بَذَخَ,,جمع
809,مُبَذِّرٌ,فاعل,بَذَّرَ,مذكر,مفرد
810,بَاذِرٌ,فاعل,بذر,مذكر,مفرد
5126,مُبْتَذِلٌ,فاعل,اِبْتَذَلَ,مذكر,مفرد
26,بَارِي,فاعل,بَرَى,مذكر,مفرد
27,بُرَاةٌ,فاعل,بَرَى,,جمع
28,بَوَارِي,فاعل,بَرَى,,جمع
819,بَارِئٌ,فاعل,بَرَأَ,مذكر,مفرد
820,بَوَارِئٌ,فاعل,بَرَأَ,,جمع
821,بُرََّادٌ,فاعل,بَرَدَ,,جمع
5130,مُبَرْبِرٌ,فاعل,بَرْبَرَ,مذكر,مفرد
5162,مُتَبَرِّجٌ,فاعل,تَبَرَّجَ,مذكر,مفرد
811,مُبَرِّحٌ,فاعل,بَرَّحَ,مذكر,مفرد
812,بَوَاذِرٌ,فاعل,بَذَرَ,,جمع
813,بَذَرَةٌ,فاعل,بَذَرَ,,جمع
814,بُذََّارٌ,فاعل,بَذَرَ,,جمع
815,بَاذِلٌ,فاعل,بَذَلَ,مذكر,مفرد
816,بَوَاذِلٌ,فاعل,بَذَلَ,,جمع
817,بَذَلَةٌ,فاعل,بَذَلَ,,جمع
818,بُذََّالٌ,فاعل,بَذَلَ,,جمع
822,بَارِحٌ,فاعل,بَرحَ,مذكر,مفرد
823,بَوَارِحُ,فاعل,بَرحَ,,جمع
824,بَرَحَةٌ,فاعل,بَرحَ,,جمع
825,بُرََّاحٌ,فاعل,بَرحَ,,جمع
5121,مُبَارِحٌ,فاعل,بَارَحَ,مذكر,مفرد
826,مُبَرِّدٌ,فاعل,بَرَّدَ,مذكر,مفرد
827,مُبْرِدٌ,فاعل,أَبْرَدَ,مذكر,مفرد
828,بَارِدٌ,فاعل,بَردَ,مذكر,مفرد
829,بَوَارِدٌ,فاعل,بَردَ,,جمع
830,بَرَدَةٌ,فاعل,بَردَ,,جمع
5163,مُتَبَرِّدٌ,فاعل,تَبَرَّدَ,مذكر,مفرد
6,بَارٌّ,فاعل,بَرَّ,مذكر,مفرد
7,أَبْرَارٌ,فاعل,بَرَّ,,جمع
8,بَرَرَةٌ,فاعل,بَرَّ,,جمع
832,مُبَرِّرٌ,فاعل,بَرَّرَ,مذكر,مفرد
763,مُبَارِزٌ,فاعل,بَارَزَ,مذكر,مفرد
833,بَارِزٌ,فاعل,بَرزَ,مذكر,مفرد
834,بَوَارِزٌ,فاعل,بَرزَ,,جمع
835,بَرَزَةٌ,فاعل,بَرزَ,,جمع
836,بُرََّازٌ,فاعل,بَرزَ,,جمع
5155,مُتَبَارِزٌ,فاعل,تَبَارَزَ,مذكر,مفرد
5164,مُتَبَرِّزٌ,فاعل,تَبَرَّزَ,مذكر,مفرد
4541,بَارِصٌ,فاعل,بَرَصَ,مذكر,مفرد
5131,مُبَرْطِلٌ,فاعل,بَرْطَلَ,مذكر,مفرد
837,بَارِعٌ,فاعل,بَرَعَ,مذكر,مفرد
838,بَوَارِعٌ,فاعل,بَرَعَ,,جمع
839,بَرَعَةٌ,فاعل,بَرَعَ,,جمع
840,بُرََّاعٌ,فاعل,بَرَعَ,,جمع
841,بُسََّاطٌ,فاعل,بَسَطَ,,جمع
842,بوَارقُ,فاعل,بَرَقَ,,جمع
931,مُتَبَرِّعٌ,فاعل,تَبَرَّعَ,مذكر,مفرد
5165,مُتَبَرْعِمٌ,فاعل,تَبَرْعَمَ,مذكر,مفرد
201,مُبْرِقٌ,فاعل,أَبْرَقَ,مذكر,مفرد
202,مُبْرِمٌ,فاعل,أبرم,مذكر,مفرد
831,بَارِقٌ,فاعل,بَرَقَ,مذكر,مفرد
5132,مُبَرْقِشٌ,فاعل,بَرْقَشَ,مذكر,مفرد
5156,مُتَبَارِكٌ,فاعل,تَبَارَكَ,مذكر,مفرد
5166,مُتَبَرِّكٌ,فاعل,تَبَرَّكَ,مذكر,مفرد
6168,مُسْتَبْرِكٌ,فاعل,اِسْتَبْرَكَ,مذكر,مفرد
942,مُتَبَرِّمٌ,فاعل,تَبَرَّمَ,مذكر,مفرد
4543,بَارِمٌ,فاعل,بَرَمَ,مذكر,مفرد
6631,مُنْبَرِمٌ,فاعل,اِنْبَرَمَ,مذكر,مفرد
843,مُبَرْمِجٌ,فاعل,بَرْمَجَ,مذكر,مفرد
844,مُبَرْهِنٌ,فاعل,بَرْهَنَ,مذكر,مفرد
5133,مُبَرْوِزٌ,فاعل,بَرْوَزَ,مذكر,مفرد
921,مُتَبَارِي,فاعل,تَبَارَى,مذكر,مفرد
845,بَازِغٌ,فاعل,بزغ,مذكر,مفرد
846,بَوَازِغُ,فاعل,بزغ,,جمع
4545,بَازِقٌ,فاعل,بَزَقَ,مذكر,مفرد
4547,بَازِلٌ,فاعل,بَزَلَ,مذكر,مفرد
5134,مُبَسْتِرٌ,فاعل,بَسْتَرَ,مذكر,مفرد
4549,بَاسِرٌ,فاعل,بَسَرَ,مذكر,مفرد
640,مُنْبَسِطٌ,فاعل,اِنْبَسَطَ,مذكر,مفرد
847,مُبَسِّطٌ,فاعل,بَسَّطَ,مذكر,مفرد
848,بَاسِطٌ,فاعل,بَسَطَ,مذكر,مفرد
849,بَوَاسِطٌ,فاعل,بَسَطَ,,جمع
850,بَسَطَةٌ,فاعل,بَسَطَ,,جمع
851,بُسََّامٌ,فاعل,بَسَمَ,,جمع
5122,مُبَاسِطٌ,فاعل,بَاسَطَ,مذكر,مفرد
5167,مُتَبَسِّطٌ,فاعل,تَبَسَّطَ,مذكر,مفرد
852,بَاسِقٌ,فاعل,بَسَقَ,مذكر,مفرد
853,بَوَاسِقٌ,فاعل,بَسَقَ,,جمع
854,بَاسِلٌ,فاعل,بَسَلَ,مذكر,مفرد
855,بَوَاسِلُ,فاعل,بَسَلَ,,جمع
856,بَسَلَةٌ,فاعل,بَسَلَ,,جمع
857,بُسََّالٌ,فاعل,بَسَلَ,,جمع
6169,مُسْتَبْسِلٌ,فاعل,اِسْتَبْسَلَ,مذكر,مفرد
196,مُبْتَسِمٌ,فاعل,اِبْتَسَمَ,مذكر,مفرد
858,بَاسِمٌ,فاعل,بَسَمَ,مذكر,مفرد
859,بَوَاسِمٌ,فاعل,بَسَمَ,,جمع
860,بَسَمَةٌ,فاعل,بَسَمَ,,جمع
861,بَوَاطِلٌ,فاعل,بَطَلَ,,جمع
5168,مُتَبَسِّمٌ,فاعل,تَبَسَّمَ,مذكر,مفرد
5135,مُبَسْمِلٌ,فاعل,بَسْمَلَ,مذكر,مفرد
354,مُسْتَبْشِرٌ,فاعل,اِسْتَبْشَرَ,مذكر,مفرد
764,مُبَاشِرٌ,فاعل,بَاشَرَ,مذكر,مفرد
866,مُبَشِّرٌ,فاعل,بَشَّرَ,مذكر,مفرد
4551,بَاشِرٌ,فاعل,بَشَرَ,مذكر,مفرد
862,بَاشٌّ,فاعل,بَشَّ,مذكر,مفرد
863,بُوََّاشٌ,فاعل,بَشَّ,,جمع
864,بُشََّاشٌ,فاعل,بَشَّ,,جمع
865,بَشَشَةٌ,فاعل,بَشَّ,,جمع
6170,مُسْتَبْشِعٌ,فاعل,اِسْتَبْشَعَ,مذكر,مفرد
185,بَاصِرٌ,فاعل,بَصَرَ,مذكر,مفرد
186,بَوَاصِرُ,فاعل,بَصَرَ,,جمع
187,بُصََّارٌ,فاعل,بَصَرَ,,جمع
188,بَصَرَةٌ,فاعل,بَصَرَ,,جمع
203,مُبْصِرٌ,فاعل,أَبْصَرَ,مذكر,مفرد
943,مُتَبَصِّرٌ,فاعل,تَبَصَّرَ,مذكر,مفرد
6171,مُسْتَبْصِرٌ,فاعل,اِسْتَبْصَرَ,مذكر,مفرد
4553,بَاصِقٌ,فاعل,بَصَقَ,مذكر,مفرد
4555,بَاصِمٌ,فاعل,بَصَمَ,مذكر,مفرد
867,بَاضِعٌ,فاعل,بَضع,مذكر,مفرد
868,بَوَاضِعٌ,فاعل,بَضع,,جمع
5169,مُتَبَضِّعٌ,فاعل,تَبَضَّعَ,مذكر,مفرد
932,مُتَبَاطِئٌ,فاعل,تَبَاطَأَ,مذكر,مفرد
631,مُنْبَطِحٌ,فاعل,اِنْبَطَحَ,مذكر,مفرد
4557,بَاطِحٌ,فاعل,بَطَحَ,مذكر,مفرد
4559,بَاطِرٌ,فاعل,بَطَرَ,مذكر,مفرد
4561,بَاطِشٌ,فاعل,بَطَشَ,مذكر,مفرد
204,مُبْطِلٌ,فاعل,أَبْطَلَ,مذكر,مفرد
869,بَاطِلٌ,فاعل,بَطَلَ,مذكر,مفرد
870,أبَاطِيلُ,فاعل,بَطَلَ,,جمع
872,بَاطِنٌ,فاعل,بَطَنَ,مذكر,مفرد
873,بَوَاطِنُ,فاعل,بَطَنَ,,جمع
6172,مُسْتَبْطِنٌ,فاعل,اِسْتَبْطَنَ,مذكر,مفرد
874,بَاعِثٌ,فاعل,بَعَثَ,مذكر,مفرد
875,بَوَاعِثُ,فاعل,بَعَثَ,,جمع
876,بَعَثَةٌ,فاعل,بَعَثَ,,جمع
877,بُعََّاثٌ,فاعل,بَعَثَ,,جمع
6632,مُنْبَعِثٌ,فاعل,اِنْبَعَثَ,مذكر,مفرد
5136,مُبَعْثِرٌ,فاعل,بَعْثَرَ,مذكر,مفرد
5170,مُتَبَعْثِرٌ,فاعل,تَبَعْثَرَ,مذكر,مفرد
933,مُتَبَاعِدٌ,فاعل,تَبَاعَدَ,مذكر,مفرد
5123,مُبَاعِدٌ,فاعل,بَاعَدَ,مذكر,مفرد
5127,مُبْتَعِدٌ,فاعل,اِبْتَعَدَ,مذكر,مفرد
4563,بَاعِرٌ,فاعل,بَعَرَ,مذكر,مفرد
4566,بَاغِتٌ,فاعل,بَغَتَ,مذكر,مفرد
768,مُبَاغِتٌ,فاعل,بَاغَتَ,مذكر,مفرد
205,مُبْغِضٌ,فاعل,أَبْغَضَ,مذكر,مفرد
4567,بَاغِضٌ,فاعل,بَغَضَ,مذكر,مفرد
5157,مُتَبَاغِضٌ,فاعل,تَبَاغَضَ,مذكر,مفرد
878,بَاغِي,فاعل,بَغَى,مذكر,مفرد
879,بُغَاةٌ,فاعل,بَغَى,,جمع
880,بَوَاغِي,فاعل,بَغَى,,جمع
881,بَلَغَةٌ,فاعل,بَلَغَ,,جمع
882,بُقَاةٌ,فاعل,بَقِيَ,,جمع
883,بَوَاقِي,فاعل,بَقِيَ,,جمع
4568,بَاقِرٌ,فاعل,بَقَرَ,مذكر,مفرد
5137,مُبَقِّعٌ,فاعل,بَقَّعَ,مذكر,مفرد
871,بَاقِي,فاعل,بَقِيَ,مذكر,مفرد
948,مُتَبَقِّي,فاعل,تَبَقَّى,مذكر,مفرد
197,مُبْتَكِرٌ,فاعل,اِبْتَكَرَ,مذكر,مفرد
884,مُبَكِّرٌ,فاعل,بَكَّرَ,مذكر,مفرد
885,بَاكِرٌ,فاعل,بَكَرَ,مذكر,مفرد
886,بَوَاكِرُ,فاعل,بَكَرَ,,جمع
4569,بَاكِمٌ,فاعل,بَكَمَ,مذكر,مفرد
181,بَاكِي,فاعل,بَكَى,مذكر,مفرد
182,بُكَاةٌ,فاعل,بَكَى,,جمع
183,بَوَاكِي,فاعل,بَكَى,,جمع
184,مُبْكِي,فاعل,أَبْكَى,مذكر,مفرد
934,مُتَبَاكِي,فاعل,تباكَى,مذكر,مفرد
5171,مُتَبَلْبِلٌ,فاعل,تَبَلْبَلَ,مذكر,مفرد
949,مُتَبَلِّجٌ,فاعل,تَبَلَّجَ,مذكر,مفرد
5172,مُتَبَلِّدٌ,فاعل,تَبَلَّدَ,مذكر,مفرد
5138,مُبَلْسِمٌ,فاعل,بَلْسَمَ,مذكر,مفرد
887,مُبَلِّطٌ,فاعل,بَلَّطَ,مذكر,مفرد
4571,بَالِعٌ,فاعل,بَلَعَ,مذكر,مفرد
5128,مُبْتَلِعٌ,فاعل,اِبْتَلَعَ,مذكر,مفرد
5173,مُتَبَلِّعٌ,فاعل,تَبَلَّعَ,مذكر,مفرد
5139,مُبَلْعِمٌ,فاعل,بَلْعَمَ,مذكر,مفرد
888,مُبَلِّغٌ,فاعل,بَلَّغَ,مذكر,مفرد
889,بَالِغٌ,فاعل,بَلَغَ,مذكر,مفرد
890,بَوَالِغٌ,فاعل,بَلَغَ,,جمع
891,بُلََّاغٌ,فاعل,بَلَغَ,,جمع
5124,مُبَالِغٌ,فاعل,بَالَغَ,مذكر,مفرد
5174,مُتَبَلِّغٌ,فاعل,تَبَلَّغَ,مذكر,مفرد
5175,مُتَبَلِّلٌ,فاعل,تَبَلَّلَ,مذكر,مفرد
5140,مُبَلْوِرٌ,فاعل,بَلْوَرَ,مذكر,مفرد
5176,مُتَبَلْوِرٌ,فاعل,تَبَلْوَرَ,مذكر,مفرد
178,بَالِي,فاعل,بَلَى,مذكر,مفرد
179,بوَالي,فاعل,بَلَى,,جمع
180,مُبَالِي,فاعل,بَالَى,مذكر,مفرد
892,مُبَنِّجٌ,فاعل,بَنَّجَ,مذكر,مفرد
893,بَانِي,فاعل,بَنَى,مذكر,مفرد
894,بُنَاةٌ,فاعل,بَنَى,,جمع
895,بَوَانِي,فاعل,بَنَى,,جمع
950,مُتَبَنِّي,فاعل,تَبَنَّى,مذكر,مفرد
25,بَاهِتٌ,فاعل,بَهَتَ,مذكر,مفرد
198,مُبْتَهِجٌ,فاعل,اِبْتَهَجَ,مذكر,مفرد
206,مُبْهِجٌ,فاعل,أَبْهَجَ,مذكر,مفرد
4573,بَاهِجٌ,فاعل,بَهَجَ,مذكر,مفرد
