#رقم,مشكول,صنف,أصل,جنس,عدد
2,مُقَفَّى,مفعول,قَفَّى,مذكر,مفرد
3,مُقَفّاة,مفعول,قَفَّى,مؤنث,مفرد
4,مَبْتُوتٌ,مفعول,بَتَّ,مذكر,مفرد
5,مُضَافٌ,مفعول,أَضَافَ,مذكر,مفرد
6,مُبَيَّضَةٌ,مفعول,بَيَّضَ,مؤنث,مفرد
7,مُبَانٌ,مفعول,أَبَانَ,مذكر,مفرد
8,مُقَشَّرٌ,مفعول,قَشَّرَ,مذكر,مفرد
9,مُهَبَّلٌ,مفعول,هَبَّلَ,مذكر,مفرد
10,مُعَوَّضٌ,مفعول,عَوَّضَ,مذكر,مفرد
11,مَيْمُونٌ,مفعول,يَمَنَ,مذكر,مفرد
12,مَيَامِينُ,مفعول,يَمَنَ,,جمع
13,مُنْكَبٌّ,مفعول,اِنْكَبَّ,مذكر,مفرد
14,مَنْدُوبٌ,مفعول,نَدَبَ,مذكر,مفرد
15,مَنَادِيبُ,مفعول,نَدَبَ,,جمع
16,مَنْجُورٌ,مفعول,نَجَرَ,مذكر,مفرد
17,مَنْثُورٌ,مفعول,نَثَرَ,مذكر,مفرد
18,مَدْعُوٌّ,مفعول,,مذكر,مفرد
19,مُدْمَى,مفعول,,,مفرد
20,مُدْماةٌ,مفعول,,مؤنث,مفرد
21,مَخْطُوطٌ,مفعول,خَطَّ,مذكر,مفرد
22,مَجْمُوعٌ,مفعول,جَمَعَ,مذكر,مفرد
23,مُلَطَّمٌ,مفعول,,مذكر,مفرد
24,مُكَعَّبٌ,مفعول,كَعَّبَ,مذكر,مفرد
25,مُكَسَّحٌ,مفعول,كَسَّحَ,مذكر,مفرد
26,مُفَلْطَحٌ,مفعول,فَلْطَحَ,مذكر,مفرد
27,مُسْتَعْمَرٌ,مفعول,اِسْتَعْمَرَ,مذكر,مفرد
28,مُعَلَّبٌ,مفعول,عَلَّبَ,مذكر,مفرد
29,مُعْرَبٌ,مفعول,أَعْرَبَ,مذكر,مفرد
30,مَعْتُوهٌ,مفعول,,مذكر,مفرد
31,مَعاتيهُ,مفعول,,,جمع
32,مُطَاعٌ,مفعول,أَطَاعَ,مذكر,مفرد
33,مُطَرَّفٌ,مفعول,,مذكر,مفرد
34,مَضِيفٌ,مفعول,,مذكر,مفرد
35,مَصُونٌ,مفعول,,مذكر,مفرد
36,مَشْوِيٌّ,مفعول,,مذكر,مفرد
37,مُشَوَّكٌ,مفعول,,مذكر,مفرد
38,طُعْمَةٌ,مفعول,,مؤنث,مفرد
39,طُعَمٌ,مفعول,,,جمع
40,ضُحْكَةٌ,مفعول,,مؤنث,مفرد
41,مُضْغَةٌ,مفعول,,مؤنث,مفرد
42,مُضَغٌ,مفعول,,,جمع
43,أُكَلَةٌ,مفعول,,مؤنث,مفرد
44,رِعْيٌ,مفعول,,,مفرد
45,أَرْعاءُ,مفعول,,,جمع
46,ذِبْحٌ,مفعول,,,مفرد
47,مُنْخَفَضٌ,مفعول,,مذكر,مفرد
48,مُجْمَعٌ,مفعول,,مذكر,مفرد
49,مُبَارَكٌ,مفعول,,مذكر,مفرد
50,مَبْرُورٌ,مفعول,,مذكر,مفرد
51,مُؤَهِّلٌ,مفعول,,مذكر,مفرد
52,مُبَاحٌ,مفعول,,مذكر,مفرد
53,مَأْسُوفٌ,مفعول,,مذكر,مفرد
54,مُؤَاتِي,مفعول,,مذكر,مفرد
55,مُؤَبَّدٌ,مفعول,,مذكر,مفرد
56,مَأْمُولٌ,مفعول,,مذكر,مفرد
57,مَيْمُونٌ,مفعول,,مذكر,مفرد
58,مَيَامِينُ,مفعول,,,جمع
59,مَوْضُوعٌ,مفعول,وَضَعَ,مذكر,مفرد
60,مَوَاضِيعُ,مفعول,وَضَعَ,,جمع
61,مَطْمُورٌ,مفعول,طَمَرَ,مذكر,مفرد
62,مَطَامِيرُ,مفعول,طَمَرَ,,جمع
63,مَتْبُوعٌ,مفعول,تَبِعَ,مذكر,مفرد
64,مَتَابِيعُ,مفعول,تَبِعَ,,جمع
65,مَنْكُورٌ,مفعول,نَكَرَ,مذكر,مفرد
66,مَنَاكِيرُ,مفعول,نَكَرَ,,جمع
67,مَسْلُوخٌ,مفعول,سَلَخَ,مذكر,مفرد
68,مساليخ,مفعول,سَلَخَ,,جمع
69,مَغْلُولٌ,مفعول,غَلَّ,مذكر,مفرد
70,مَغَالِيلُ,مفعول,غَلَّ,,جمع
71,مَثْؤُوبٌ,مفعول,تَثَاءَبَ,مذكر,مفرد
72,مُرَبَّعٌ,مفعول,رَبَّعَ,مذكر,مفرد
73,مُعَبَّدٌ,مفعول,عَبَّدَ,مذكر,مفرد
74,مَعْشُوقٌ,مفعول,عَشِقَ,مذكر,مفرد
75,مُبْتَدَعٌ,مفعول,ابتدع,مذكر,مفرد
76,مُبْتَذَلٌ,مفعول,اِبْتَذَلَ,مذكر,مفرد
77,مُبْتَسَرٌ,مفعول,اِبْتَسَرَ,مذكر,مفرد
78,مُبْتَغَى,مفعول,اِبْتَغَى,مذكر,مفرد
79,مُبْتَغاة,مفعول,اِبْتَغَى,مؤنث,مفرد
80,مُبْتَكَرٌ,مفعول,اِبْتَكَرَ,مذكر,مفرد
81,مُبْتَلٌّ,مفعول,اِبْتَلَّ,مذكر,مفرد
82,مُبْتَلَى,مفعول,ابْتَلَى,مذكر,مفرد
83,مُبْتَلاة,مفعول,ابْتَلَى,مؤنث,مفرد
84,مُبْطَلٌ,مفعول,أَبْطَلَ,مذكر,مفرد
85,مُبْعَدٌ,مفعول,أَبْعَدَ,مذكر,مفرد
86,مُبْغَضٌ,مفعول,أَبْغَضَ,مذكر,مفرد
87,مُبْهَمٌ,مفعول,أَبْهَمَ,مذكر,مفرد
88,مُتَاحٌ,مفعول,أَتاحَ,مذكر,مفرد
89,مُتَّبَعٌ,مفعول,اِتَّبَعَ,مذكر,مفرد
90,مُتَّجَهٌ,مفعول,اِتَّجَهَ,مذكر,مفرد
91,مُتْرَبٌ,مفعول,أَتْرَبَ,مذكر,مفرد
92,مُتْرَعٌ,مفعول,أَتْرَعَ,مذكر,مفرد
93,مُتْرَفٌ,مفعول,أَتْرَفَ,مذكر,مفرد
94,مُتَّسَعٌ,مفعول,اِتَّسَع,مذكر,مفرد
95,مُتْعَبٌ,مفعول,أَتْعَبَ,مذكر,مفرد
96,مُتَّفَقٌ,مفعول,اِتَّفَقَ,مذكر,مفرد
97,مُتْقَنٌ,مفعول,أَتْقَنَ,مذكر,مفرد
98,مُتَّكَأٌ,مفعول,اِتَّكَأَ,مذكر,مفرد
99,مُتَّكَأَةٌ,مفعول,اِتَّكَأَ,مؤنث,مفرد
100,مُتَّهَمٌ,مفعول,اِتَّهَمَ,مذكر,مفرد
101,مُثْبَتٌ,مفعول,أَثْبَتَ,مذكر,مفرد
102,مُثْخَنٌ,مفعول,أَثْخَنَ,مذكر,مفرد
103,مُثْقَلٌ,مفعول,أَثْقَلَ,مذكر,مفرد
104,مُجْبَرٌ,مفعول,أَجْبَرَ,مذكر,مفرد
105,مُجْتَثٌّ,مفعول,اِجْتَثَّ,مذكر,مفرد
106,مُجْتَمَعٌ,مفعول,اِجْتَمَعَ,مذكر,مفرد
107,مُؤَجَّرٌ,مفعول,أَجَّرَ,مذكر,مفرد
108,مُؤَجَّلٌ,مفعول,أَجَّلَ,مذكر,مفرد
109,مُجْمَلٌ,مفعول,أَجْمَلَ,مذكر,مفرد
110,مَجْنُونٌ,مفعول,جَنَّ,مذكر,مفرد
111,مَجَانِينُ,مفعول,جَنَّ,,جمع
112,مُجْهَضٌ,مفعول,أَجْهَضَ,مذكر,مفرد
113,مُحَاطٌ,مفعول,أَحَاطَ,مذكر,مفرد
114,مُحْتَرَمٌ,مفعول,اِحْتَرَمَ,مذكر,مفرد
115,مُحْتَسَبٌ,مفعول,اِحْتَسَبَ,مذكر,مفرد
116,مُحْتَضَرٌ,مفعول,اِحْتَضَرَ,مذكر,مفرد
117,مُحْتَفَلٌ,مفعول,اِحْتَفَلَ,مذكر,مفرد
118,مُحْتَقَرٌ,مفعول,اِحْتَقَرَ,مذكر,مفرد
119,مُحْتَكَرٌ,مفعول,اِحْتَكَرَ,مذكر,مفرد
120,مُحْتَلٌّ,مفعول,اِحْتَلَّ,مذكر,مفرد
121,مُحْتَمَلٌ,مفعول,اِحْتَمَلَ,مذكر,مفرد
122,مُحْدَثٌ,مفعول,أَحْدَثَ,مذكر,مفرد
123,مُحْدَوْدَبٌ,مفعول,اِحْدَوْدَبَ,مذكر,مفرد
124,مُحْصَنٌ,مفعول,أَحْصَنَ,مذكر,مفرد
125,مُحْكَمٌ,مفعول,أَحْكَمَ,مذكر,مفرد
126,مُخْتَارٌ,مفعول,اِخْتَارَ,مذكر,مفرد
127,مُخْتَرَعٌ,مفعول,اِخْتَرَعَ,مذكر,مفرد
128,مُخْتَزَلٌ,مفعول,اِخْتَزَلَ,مذكر,مفرد
129,مُخْتَصَرٌ,مفعول,اِخْتَصَرَ,مذكر,مفرد
130,مُخْتَلٌّ,مفعول,اِخْتَلَّ,مذكر,مفرد
131,مُخْتَلَفٌ,مفعول,اِخْتَلَفَ,مذكر,مفرد
132,مُخْتَلَقٌ,مفعول,اِخْتَلَقَ,مذكر,مفرد
133,مُؤَخَّرٌ,مفعول,أَخَّرَ,مذكر,مفرد
134,مُدَانٌ,مفعول,أَدَانَ,مذكر,مفرد
135,مُؤَدَّبٌ,مفعول,أَدَّبَ,مذكر,مفرد
136,مُدَّثَّرٌ,مفعول,اِدَّثَّرَ,مذكر,مفرد
137,مُدْرَجٌ,مفعول,أَدْرَجَ,مذكر,مفرد
138,مُدْرَكٌ,مفعول,أَدْرَكَ,مذكر,مفرد
139,مُدَّعَى,مفعول,اِدَّعَى,مذكر,مفرد
140,مُدَّعاةٌ,مفعول,اِدَّعَى,مؤنث,مفرد
141,مُدْمَجٌ,مفعول,أَدْمَجَ,مذكر,مفرد
142,مُؤَدَّى,مفعول,أَدَّى,مذكر,مفرد
143,مُؤَدّاة,مفعول,أَدَّى,مؤنث,مفرد
144,مُرَادٌ,مفعول,أَرَادَ,مذكر,مفرد
145,مُرْتَجَعٌ,مفعول,اِرْتَجَعَ,مذكر,مفرد
146,مُرْتَجَلٌ,مفعول,اِرْتَجَلَ,مذكر,مفرد
147,مُرْتَحَلٌ,مفعول,اِرْتَحَلَ,مذكر,مفرد
148,مُرْتَفَعٌ,مفعول,اِرْتَفَعَ,مذكر,مفرد
149,مُرْتَقَبٌ,مفعول,اِرْتَقَبَ,مذكر,مفرد
150,مُرْتَقَعٌ,مفعول,اِرْتَقَعَ,مذكر,مفرد
151,مُرْتَقَى,مفعول,اِرْتَقَى,مذكر,مفرد
