#رقم,مشكول,صنف,أصل,جنس,عدد
2,تَبَوُّؤٌ, مصدر,تَبَوَّأَ,مذكر,مفرد
3,تَبَلْبُلٌ, مصدر,تبلبل,مذكر,مفرد
4,تَأْسِيسٌ, مصدر,أسس,مذكر,مفرد
5,تَمَحُّصٌ,مصدر,تَمَحَّصَ,مذكر,مفرد
6,جُرْحٌ,مصدر,جَرَحَ,مذكر,مفرد
7,جِرَاحٌ,مصدر,جَرَحَ,مؤنث,جمع
8,أَجْرَاحٌ,مصدر,جَرَحَ,مؤنث,جمع
9,جِرَاحَاتٌ,مصدر,جَرَحَ,مؤنث,جمع
10,رِيٌّ,اسم المصدر,ارْتَوَى,مذكر,مفرد
11,بَيْعٌ,مصدر,باعَ,مذكر,مفرد
12,بُيوعٌ,مصدر,باعَ,مؤنث,جمع
13,عِلْمٌ, مصدر,عَلِمَ,مذكر,مفرد
14,عُلُومٌ, مصدر,عَلِمَ,مؤنث,جمع
15,دَرَكٌ,اسم المصدر,الإدْرَاكِ,مذكر,مفرد
16,صَحْوَةٌ,اسم المرة,الصَّحْوِ,مؤنث,مفرد
17,غَلْطَةٌ,اسم المرة,الغَلَطِ,مؤنث,مفرد
18,بَتَّةٌ,اسم المرة,بَتٌّ,مؤنث,مفرد
19,خَفْقَةٌ,اسم المرة,خَفَقَ,مؤنث,مفرد
20,دَوْرَةٌ,اسم المرة,دارَ,مؤنث,مفرد
21,رَوْحَةٌ,اسم المرة,راحَ,مؤنث,مفرد
22,رَكْلَةٌ,اسم المرة,رَكَلَ,مؤنث,مفرد
23,رَنَّةٌ,اسم المرة,رَنَّ,مؤنث,مفرد
24,كَيَّةٌ,اسم المرة,كَوَى,مؤنث,مفرد
25,نَجْوَةٌ,اسم المرة,نَجَا,مؤنث,مفرد
26,نِجَاءٌ,اسم المرة,نَجَا,مؤنث,جمع
27,نَدْوَةٌ,اسم المرة,نَدَا,مؤنث,مفرد
28,مَآبٌ,مصدر,آب,مذكر,مفرد
29,مَآوِبُ,مصدر,آب,مؤنث,جمع
30,أوْبٌ,مصدر,آبَ,مذكر,مفرد
31,إيابٌ,مصدر,آبَ,مذكر,مفرد
